714	954
715	561
715	859
715	953
716	604
716	860
716	956
717	551
717	861
717	957
718	862
718	958
718	1102
719	550
719	863
719	959
720	384
720	480
720	576
721	385
721	481
721	577
722	387
722	483
722	578
723	388
723	485
723	581
724	389
724	484
724	580
725	392
725	488
725	582
726	386
726	482
726	579
727	390
727	487
727	584
728	393
728	489
728	585
729	395
729	490
729	586
730	391
730	486
730	583
731	394
731	501
731	590
732	397
732	492
732	589
733	398
733	493
733	587
734	396
734	491
734	588
735	412
735	505
735	594
736	402
736	496
736	593
737	399
737	494
737	591
738	400
738	495
738	592
739	413
739	509
739	600
740	401
740	497
740	595
741	404
741	499
741	596
742	406
742	502
742	597
743	403
743	500
743	599
744	407
744	498
744	598
745	405
745	503
745	601
746	409
746	506
746	603
747	408
747	504
747	602
748	410
748	507
748	604
749	414
749	510
749	606
750	421
750	515
750	609
751	411
751	508
751	605
752	415
752	511
752	607
753	416
753	512
753	608
754	418
754	514
754	610
755	417
755	513
755	611
756	419
756	516
756	612
757	420
757	517
757	613
758	423
758	518
758	614
759	424
759	520
759	615
760	422
760	519
760	616
761	426
761	521
761	617
762	427
762	522
762	618
763	429
763	523
763	619
764	425
764	524
764	620
765	428
765	525
765	621
766	430
766	526
766	622
767	431
767	527
767	623
768	624
768	940
768	1008
769	529
769	625
769	922
770	626
770	912
770	1010
771	533
771	629
771	913
772	532
772	628
772	923
773	630
773	927
773	1011
774	632
774	919
774	1014
775	537
775	633
775	1015
776	538
776	634
776	915
777	531
777	627
777	1024
778	535
778	631
778	1017
779	541
779	637
779	951
780	545
780	638
780	921
781	540
781	635
781	933
782	539
782	636
782	1023
783	549
783	641
783	916
784	640
784	949
784	1026
785	542
785	639
785	932
786	646
786	918
786	1020
787	543
787	642
787	1027
788	546
788	643
788	1028
789	644
789	930
789	1031
790	551
790	645
790	957
791	548
791	648
791	1034
792	647
792	959
792	1032
793	555
793	650
793	928
794	649
794	936
794	1033
795	553
795	651
795	1036
796	556
796	653
796	926
797	558
797	654
797	946
798	656
798	953
798	1035
799	557
799	652
799	1040
800	559
800	655
800	939
801	560
801	657
801	942
802	562
802	660
802	929
803	563
803	658
803	952
804	564
804	659
804	931
805	565
805	661
805	1046
806	662
806	937
806	1045
807	568
807	663
807	954
808	567
808	664
808	948
809	569
809	665
809	943
810	570
810	666
810	1050
811	571
811	667
811	1049
812	572
812	668
812	925
813	573
813	669
813	944
814	574
814	670
814	947
815	671
815	950
815	1055
816	672
816	960
816	1056
817	673
817	961
817	1057
818	674
818	962
818	1058
819	677
819	963
819	1061
820	676
820	965
820	1060
821	678
821	964
821	1059
822	679
822	966
822	1062
823	680
823	967
823	1063
824	681
824	968
824	1064
825	682
825	969
825	1065
826	675
826	971
826	1076
827	686
827	970
827	1066
828	683
828	974
828	1070
829	685
829	973
829	1069
830	684
830	976
830	1071
831	688
831	972
831	1067
832	687
832	978
832	1074
833	689
833	977
833	1072
834	693
834	975
834	1068
835	690
835	979
835	1073
836	691
836	980
836	1075
837	692
837	983
837	1079
838	694
838	982
838	1078
839	695
839	984
839	1081
840	698
840	981
840	1077
841	696
841	985
841	1083
842	697
842	986
842	1082
843	699
843	987
843	1084
844	700
844	990
844	1086
845	701
845	989
845	1085
846	704
846	988
846	1080
847	702
847	991
847	1088
848	703
848	995
848	1091
849	705
849	992
849	1087
850	706
850	994
850	1090
851	707
851	996
851	1092
852	708
852	993
852	1089
853	709
853	998
853	1094
854	710
854	997
854	1093
855	711
855	999
855	1095
856	712
856	1003
856	1099
857	713
857	1000
857	1096
858	714
858	1002
858	1098
859	715
859	1001
859	1097
860	716
860	1004
860	1100
861	717
861	1005
861	1101
862	718
862	1006
862	1102
863	719
863	1007
863	1103
864	1008
864	1104
864	1200
865	1009
865	1105
865	1201
866	1010
866	1106
866	1202
867	1012
867	1108
867	1205
868	1013
868	1109
868	1204
869	1011
869	1107
869	1203
870	1014
870	1110
870	1206
871	1015
871	1111
871	1207
872	1016
872	1112
872	1208
873	1017
873	1113
873	1209
874	1024
874	1131
874	1234
875	1018
875	1114
875	1210
876	1021
876	1117
876	1213
877	1022
877	1118
877	1214
878	1019
878	1115
878	1211
879	1023
879	1119
879	1215
880	1020
880	1116
880	1212
881	1025
881	1120
881	1216
882	1026
882	1124
882	1221
883	1027
883	1121
883	1219
884	1028
884	1123
884	1218
885	1031
885	1127
885	1223
886	1029
886	1122
886	1217
887	1030
887	1125
887	1222
888	1032
888	1128
888	1225
889	1034
889	1130
889	1226
890	1033
890	1129
890	1224
891	1036
891	1132
891	1227
892	1038
892	1134
892	1229
893	1035
893	1126
893	1220
894	1037
894	1133
894	1228
895	1043
895	1139
895	1235
896	1040
896	1137
896	1233
897	1039
897	1135
897	1231
898	1041
898	1136
898	1230
899	1042
899	1138
899	1232
900	1044
900	1140
900	1236
901	1046
901	1142
901	1238
902	1045
902	1141
902	1237
903	1047
903	1143
903	1239
904	1048
904	1144
904	1241
905	1051
905	1147
905	1243
906	1050
906	1146
906	1242
907	1049
907	1145
907	1240
908	1052
908	1148
908	1244
909	1053
909	1149
909	1245
910	1054
910	1150
910	1246
911	1055
911	1151
911	1247
912	770
912	1056
912	1152
913	771
913	1057
913	1153
914	674
914	1058
914	1154
915	776
915	1060
915	1157
916	783
916	1061
916	1156
917	678
917	1059
